log_id|provider_id|role|specialty|panel_seq
88205754|A00406|Anesthesiologist|Anesthesiology|
88205754|N01039|Circulating Nurse|Nursing|
88231510|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88231510|S09042|Assistant Surgeon|Colon & Rectal Surgery|2
88231510|S09079|Assistant Surgeon|Urology|3
88231510|S09116|Assistant Surgeon|Obstetrics & Gynecology|4
88231510|A00449|Anesthesiologist|Anesthesiology|
88231510|N01043|Circulating Nurse|Nursing|
88208220|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88208220|A00424|Anesthesiologist|Anesthesiology|
88208220|N01012|Circulating Nurse|Nursing|
88209864|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88209864|A00435|Anesthesiologist|Anesthesiology|
88209864|N01116|Circulating Nurse|Nursing|
88217947|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88217947|S09046|Assistant Surgeon|Obstetrics & Gynecology|2
88217947|A00528|Anesthesiologist|Anesthesiology|
88217947|N01164|Circulating Nurse|Nursing|
88217262|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88217262|S09069|Assistant Surgeon|Obstetrics & Gynecology|2
88217262|A00502|Anesthesiologist|Anesthesiology|
88217262|N01006|Circulating Nurse|Nursing|
88248635|S03318|Primary Surgeon|Urology|1
88248635|S09034|Assistant Surgeon|Urology|2
88248635|A00520|Anesthesiologist|Anesthesiology|
88248635|N01182|Circulating Nurse|Nursing|
88202603|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88202603|A00548|Anesthesiologist|Anesthesiology|
88202603|N01065|Circulating Nurse|Nursing|
88247539|S02901|Primary Surgeon|General Surgery|1
88247539|A00439|Anesthesiologist|Anesthesiology|
88247539|N01196|Circulating Nurse|Nursing|
88211371|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88211371|A00450|Anesthesiologist|Anesthesiology|
88211371|N01151|Circulating Nurse|Nursing|
88212330|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88212330|A00462|Anesthesiologist|Anesthesiology|
88212330|N01040|Circulating Nurse|Nursing|
88249320|S03370|Primary Surgeon|Urology|1
88249320|A00493|Anesthesiologist|Anesthesiology|
88249320|N01118|Circulating Nurse|Nursing|
88209042|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88209042|A00573|Anesthesiologist|Anesthesiology|
88209042|N01093|Circulating Nurse|Nursing|
88235346|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88235346|A00434|Anesthesiologist|Anesthesiology|
88235346|N01095|Circulating Nurse|Nursing|
88224523|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88224523|S09018|Assistant Surgeon|Obstetrics & Gynecology|2
88224523|A00439|Anesthesiologist|Anesthesiology|
88224523|N01125|Circulating Nurse|Nursing|
88226989|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88226989|S09020|Assistant Surgeon|Colon & Rectal Surgery|2
88226989|A00526|Anesthesiologist|Anesthesiology|
88226989|N01064|Circulating Nurse|Nursing|
88203014|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88203014|A00420|Anesthesiologist|Anesthesiology|
88203014|N01181|Circulating Nurse|Nursing|
88229318|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88229318|S09063|Assistant Surgeon|Colon & Rectal Surgery|2
88229318|A00436|Anesthesiologist|Anesthesiology|
88229318|N01152|Circulating Nurse|Nursing|
88233976|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88233976|S09004|Assistant Surgeon|Obstetrics & Gynecology|2
88233976|A00523|Anesthesiologist|Anesthesiology|
88233976|N01025|Circulating Nurse|Nursing|
88240004|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88240004|S09075|Assistant Surgeon|Colon & Rectal Surgery|2
88240004|A00536|Anesthesiologist|Anesthesiology|
88240004|N01139|Circulating Nurse|Nursing|
88201370|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88201370|A00511|Anesthesiologist|Anesthesiology|
88201370|N01173|Circulating Nurse|Nursing|
88214385|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88214385|A00455|Anesthesiologist|Anesthesiology|
88214385|N01185|Circulating Nurse|Nursing|
88206028|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88206028|A00554|Anesthesiologist|Anesthesiology|
88206028|N01026|Circulating Nurse|Nursing|
88221646|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88221646|A00413|Anesthesiologist|Anesthesiology|
88221646|N01022|Circulating Nurse|Nursing|
88214248|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88214248|A00428|Anesthesiologist|Anesthesiology|
88214248|N01027|Circulating Nurse|Nursing|
88218632|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88218632|S09033|Assistant Surgeon|Obstetrics & Gynecology|2
88218632|A00447|Anesthesiologist|Anesthesiology|
88218632|N01034|Circulating Nurse|Nursing|
88245347|S02955|Primary Surgeon|General Surgery|1
88245347|A00460|Anesthesiologist|Anesthesiology|
88245347|N01104|Circulating Nurse|Nursing|
88203562|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88203562|A00518|Anesthesiologist|Anesthesiology|
88203562|N01038|Circulating Nurse|Nursing|
88210686|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88210686|A00477|Anesthesiologist|Anesthesiology|
88210686|N01139|Circulating Nurse|Nursing|
88231099|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88231099|S09013|Assistant Surgeon|Colon & Rectal Surgery|2
88231099|A00476|Anesthesiologist|Anesthesiology|
88231099|N01095|Circulating Nurse|Nursing|
88241922|S04120|Primary Surgeon|Orthopaedic Surgery|1
88241922|A00464|Anesthesiologist|Anesthesiology|
88241922|N01158|Circulating Nurse|Nursing|
88203699|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88203699|A00495|Anesthesiologist|Anesthesiology|
88203699|N01128|Circulating Nurse|Nursing|
88212193|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88212193|A00579|Anesthesiologist|Anesthesiology|
88212193|N01136|Circulating Nurse|Nursing|
88215344|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88215344|A00478|Anesthesiologist|Anesthesiology|
88215344|N01002|Circulating Nurse|Nursing|
88234250|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88234250|A00563|Anesthesiologist|Anesthesiology|
88234250|N01092|Circulating Nurse|Nursing|
88219043|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88219043|S09084|Assistant Surgeon|Obstetrics & Gynecology|2
88219043|A00557|Anesthesiologist|Anesthesiology|
88219043|N01094|Circulating Nurse|Nursing|
88219865|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88219865|S09004|Assistant Surgeon|Obstetrics & Gynecology|2
88219865|A00500|Anesthesiologist|Anesthesiology|
88219865|N01142|Circulating Nurse|Nursing|
88200137|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88200137|A00503|Anesthesiologist|Anesthesiology|
88200137|N01199|Circulating Nurse|Nursing|
88205891|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88205891|A00428|Anesthesiologist|Anesthesiology|
88205891|N01115|Circulating Nurse|Nursing|
88228085|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88228085|S09069|Assistant Surgeon|Obstetrics & Gynecology|2
88228085|A00509|Anesthesiologist|Anesthesiology|
88228085|N01004|Circulating Nurse|Nursing|
88233839|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88233839|S09060|Assistant Surgeon|Obstetrics & Gynecology|2
88233839|A00445|Anesthesiologist|Anesthesiology|
88233839|N01088|Circulating Nurse|Nursing|
88251512|S03370|Primary Surgeon|Urology|1
88251512|S09016|Assistant Surgeon|General Surgery|2
88251512|S09053|Assistant Surgeon|Urology|3
88251512|A00489|Anesthesiologist|Anesthesiology|
88251512|N01061|Circulating Nurse|Nursing|
88208083|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88208083|A00548|Anesthesiologist|Anesthesiology|
88208083|N01195|Circulating Nurse|Nursing|
88213563|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88213563|A00566|Anesthesiologist|Anesthesiology|
88213563|N01031|Circulating Nurse|Nursing|
88220961|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88220961|A00530|Anesthesiologist|Anesthesiology|
88220961|N01169|Circulating Nurse|Nursing|
88236305|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88236305|S09062|Assistant Surgeon|Colon & Rectal Surgery|2
88236305|S09099|Assistant Surgeon|Obstetrics & Gynecology|3
88236305|A00405|Anesthesiologist|Anesthesiology|
88236305|N01048|Circulating Nurse|Nursing|
88213837|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88213837|A00568|Anesthesiologist|Anesthesiology|
88213837|N01099|Circulating Nurse|Nursing|
88236168|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88236168|A00439|Anesthesiologist|Anesthesiology|
88236168|N01080|Circulating Nurse|Nursing|
88212604|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88212604|A00452|Anesthesiologist|Anesthesiology|
88212604|N01127|Circulating Nurse|Nursing|
88247128|S02955|Primary Surgeon|General Surgery|1
88247128|A00440|Anesthesiologist|Anesthesiology|
88247128|N01120|Circulating Nurse|Nursing|
88247676|S02955|Primary Surgeon|General Surgery|1
88247676|A00523|Anesthesiologist|Anesthesiology|
88247676|N01180|Circulating Nurse|Nursing|
88226304|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88226304|A00554|Anesthesiologist|Anesthesiology|
88226304|N01183|Circulating Nurse|Nursing|
88253156|S03318|Primary Surgeon|Urology|1
88253156|S09089|Assistant Surgeon|General Surgery|2
88253156|S09126|Assistant Surgeon|Colon & Rectal Surgery|3
88253156|A00490|Anesthesiologist|Anesthesiology|
88253156|N01044|Circulating Nurse|Nursing|
88246169|S02901|Primary Surgeon|General Surgery|1
88246169|A00593|Anesthesiologist|Anesthesiology|
88246169|N01183|Circulating Nurse|Nursing|
88212056|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88212056|A00455|Anesthesiologist|Anesthesiology|
88212056|N01178|Circulating Nurse|Nursing|
88208768|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88208768|A00572|Anesthesiologist|Anesthesiology|
88208768|N01100|Circulating Nurse|Nursing|
88216440|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88216440|A00427|Anesthesiologist|Anesthesiology|
88216440|N01155|Circulating Nurse|Nursing|
88219591|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88219591|S09041|Assistant Surgeon|Obstetrics & Gynecology|2
88219591|A00434|Anesthesiologist|Anesthesiology|
88219591|N01194|Circulating Nurse|Nursing|
88242470|S04188|Primary Surgeon|Orthopaedic Surgery|1
88242470|A00514|Anesthesiologist|Anesthesiology|
88242470|N01153|Circulating Nurse|Nursing|
88244936|S02901|Primary Surgeon|General Surgery|1
88244936|A00446|Anesthesiologist|Anesthesiology|
88244936|N01180|Circulating Nurse|Nursing|
88246443|S02955|Primary Surgeon|General Surgery|1
88246443|A00587|Anesthesiologist|Anesthesiology|
88246443|N01194|Circulating Nurse|Nursing|
88201644|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88201644|A00411|Anesthesiologist|Anesthesiology|
88201644|N01049|Circulating Nurse|Nursing|
88203425|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88203425|A00527|Anesthesiologist|Anesthesiology|
88203425|N01107|Circulating Nurse|Nursing|
88202877|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88202877|A00476|Anesthesiologist|Anesthesiology|
88202877|N01135|Circulating Nurse|Nursing|
88219317|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88219317|A00567|Anesthesiologist|Anesthesiology|
88219317|N01016|Circulating Nurse|Nursing|
88204521|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88204521|A00534|Anesthesiologist|Anesthesiology|
88204521|N01045|Circulating Nurse|Nursing|
88226852|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88226852|S09078|Assistant Surgeon|Colon & Rectal Surgery|2
88226852|A00489|Anesthesiologist|Anesthesiology|
88226852|N01033|Circulating Nurse|Nursing|
88211782|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88211782|A00512|Anesthesiologist|Anesthesiology|
88211782|N01144|Circulating Nurse|Nursing|
88248909|S03318|Primary Surgeon|Urology|1
88248909|A00422|Anesthesiologist|Anesthesiology|
88248909|N01141|Circulating Nurse|Nursing|
88224386|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88224386|S09030|Assistant Surgeon|Obstetrics & Gynecology|2
88224386|A00530|Anesthesiologist|Anesthesiology|
88224386|N01170|Circulating Nurse|Nursing|
88232469|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88232469|S09032|Assistant Surgeon|Colon & Rectal Surgery|2
88232469|S09069|Assistant Surgeon|Obstetrics & Gynecology|3
88232469|A00555|Anesthesiologist|Anesthesiology|
88232469|N01069|Circulating Nurse|Nursing|
88209316|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88209316|A00410|Anesthesiologist|Anesthesiology|
88209316|N01160|Circulating Nurse|Nursing|
88226715|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88226715|S09059|Assistant Surgeon|Colon & Rectal Surgery|2
88226715|A00492|Anesthesiologist|Anesthesiology|
88226715|N01022|Circulating Nurse|Nursing|
88237949|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88237949|S09049|Assistant Surgeon|Colon & Rectal Surgery|2
88237949|S09086|Assistant Surgeon|Obstetrics & Gynecology|3
88237949|A00499|Anesthesiologist|Anesthesiology|
88237949|N01044|Circulating Nurse|Nursing|
88215755|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88215755|A00423|Anesthesiologist|Anesthesiology|
88215755|N01066|Circulating Nurse|Nursing|
88217125|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88217125|S09065|Assistant Surgeon|Obstetrics & Gynecology|2
88217125|A00582|Anesthesiologist|Anesthesiology|
88217125|N01082|Circulating Nurse|Nursing|
88242059|S04120|Primary Surgeon|Orthopaedic Surgery|1
88242059|A00594|Anesthesiologist|Anesthesiology|
88242059|N01121|Circulating Nurse|Nursing|
88225208|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88225208|A00490|Anesthesiologist|Anesthesiology|
88225208|N01070|Circulating Nurse|Nursing|
88252745|S03318|Primary Surgeon|Urology|1
88252745|S09030|Assistant Surgeon|General Surgery|2
88252745|S09067|Assistant Surgeon|Urology|3
88252745|A00585|Anesthesiologist|Anesthesiology|
88252745|N01096|Circulating Nurse|Nursing|
88225619|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88225619|A00547|Anesthesiologist|Anesthesiology|
88225619|N01049|Circulating Nurse|Nursing|
88223016|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88223016|S09039|Assistant Surgeon|Obstetrics & Gynecology|2
88223016|A00529|Anesthesiologist|Anesthesiology|
88223016|N01072|Circulating Nurse|Nursing|
88202466|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88202466|A00544|Anesthesiologist|Anesthesiology|
88202466|N01044|Circulating Nurse|Nursing|
88203288|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88203288|A00409|Anesthesiologist|Anesthesiology|
88203288|N01131|Circulating Nurse|Nursing|
88243566|S02955|Primary Surgeon|General Surgery|1
88243566|A00449|Anesthesiologist|Anesthesiology|
88243566|N01120|Circulating Nurse|Nursing|
88247402|S02901|Primary Surgeon|General Surgery|1
88247402|S09040|Assistant Surgeon|General Surgery|2
88247402|A00511|Anesthesiologist|Anesthesiology|
88247402|N01173|Circulating Nurse|Nursing|
88225482|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88225482|S09078|Assistant Surgeon|Colon & Rectal Surgery|2
88225482|S09115|Assistant Surgeon|Obstetrics & Gynecology|3
88225482|A00566|Anesthesiologist|Anesthesiology|
88225482|N01163|Circulating Nurse|Nursing|
88212741|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88212741|A00586|Anesthesiologist|Anesthesiology|
88212741|N01010|Circulating Nurse|Nursing|
88217399|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88217399|S09020|Assistant Surgeon|Obstetrics & Gynecology|2
88217399|A00498|Anesthesiologist|Anesthesiology|
88217399|N01013|Circulating Nurse|Nursing|
88227537|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88227537|S09048|Assistant Surgeon|Colon & Rectal Surgery|2
88227537|S09085|Assistant Surgeon|Urology|3
88227537|A00412|Anesthesiologist|Anesthesiology|
88227537|N01173|Circulating Nurse|Nursing|
88211508|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88211508|A00570|Anesthesiologist|Anesthesiology|
88211508|N01019|Circulating Nurse|Nursing|
88219454|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88219454|A00521|Anesthesiologist|Anesthesiology|
88219454|N01113|Circulating Nurse|Nursing|
88231921|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88231921|S09031|Assistant Surgeon|Obstetrics & Gynecology|2
88231921|A00413|Anesthesiologist|Anesthesiology|
88231921|N01049|Circulating Nurse|Nursing|
88233154|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88233154|A00508|Anesthesiologist|Anesthesiology|
88233154|N01047|Circulating Nurse|Nursing|
88237127|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88237127|A00422|Anesthesiologist|Anesthesiology|
88237127|N01080|Circulating Nurse|Nursing|
88239730|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88239730|S09062|Assistant Surgeon|Colon & Rectal Surgery|2
88239730|S09099|Assistant Surgeon|Obstetrics & Gynecology|3
88239730|A00513|Anesthesiologist|Anesthesiology|
88239730|N01000|Circulating Nurse|Nursing|
88220687|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88220687|A00526|Anesthesiologist|Anesthesiology|
88220687|N01133|Circulating Nurse|Nursing|
88245210|S02955|Primary Surgeon|General Surgery|1
88245210|A00424|Anesthesiologist|Anesthesiology|
88245210|N01156|Circulating Nurse|Nursing|
88249457|S04188|Primary Surgeon|Orthopaedic Surgery|1
88249457|S09083|Assistant Surgeon|Plastic Surgery|2
88249457|A00526|Anesthesiologist|Anesthesiology|
88249457|N01177|Circulating Nurse|Nursing|
88222468|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88222468|A00541|Anesthesiologist|Anesthesiology|
88222468|N01145|Circulating Nurse|Nursing|
88234798|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88234798|S09054|Assistant Surgeon|Obstetrics & Gynecology|2
88234798|A00456|Anesthesiologist|Anesthesiology|
88234798|N01177|Circulating Nurse|Nursing|
88206576|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88206576|A00448|Anesthesiologist|Anesthesiology|
88206576|N01059|Circulating Nurse|Nursing|
88238086|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88238086|S09049|Assistant Surgeon|Obstetrics & Gynecology|2
88238086|A00581|Anesthesiologist|Anesthesiology|
88238086|N01103|Circulating Nurse|Nursing|
88252471|S03370|Primary Surgeon|Urology|1
88252471|S09028|Assistant Surgeon|General Surgery|2
88252471|A00521|Anesthesiologist|Anesthesiology|
88252471|N01030|Circulating Nurse|Nursing|
88230551|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88230551|S09016|Assistant Surgeon|Colon & Rectal Surgery|2
88230551|A00472|Anesthesiologist|Anesthesiology|
88230551|N01196|Circulating Nurse|Nursing|
88227263|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88227263|S09015|Assistant Surgeon|Colon & Rectal Surgery|2
88227263|A00498|Anesthesiologist|Anesthesiology|
88227263|N01146|Circulating Nurse|Nursing|
88239456|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88239456|S09033|Assistant Surgeon|Obstetrics & Gynecology|2
88239456|A00545|Anesthesiologist|Anesthesiology|
88239456|N01181|Circulating Nurse|Nursing|
88232058|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88232058|A00597|Anesthesiologist|Anesthesiology|
88232058|N01090|Circulating Nurse|Nursing|
88240689|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88240689|S09053|Assistant Surgeon|Colon & Rectal Surgery|2
88240689|S09090|Assistant Surgeon|Obstetrics & Gynecology|3
88240689|A00431|Anesthesiologist|Anesthesiology|
88240689|N01046|Circulating Nurse|Nursing|
88224934|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88224934|S09025|Assistant Surgeon|Colon & Rectal Surgery|2
88224934|S09062|Assistant Surgeon|Urology|3
88224934|A00552|Anesthesiologist|Anesthesiology|
88224934|N01094|Circulating Nurse|Nursing|
88226441|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88226441|A00504|Anesthesiologist|Anesthesiology|
88226441|N01089|Circulating Nurse|Nursing|
88213152|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88213152|A00562|Anesthesiologist|Anesthesiology|
88213152|N01003|Circulating Nurse|Nursing|
88207809|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88207809|A00413|Anesthesiologist|Anesthesiology|
88207809|N01072|Circulating Nurse|Nursing|
88240141|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88240141|A00575|Anesthesiologist|Anesthesiology|
88240141|N01056|Circulating Nurse|Nursing|
88230003|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88230003|S09055|Assistant Surgeon|Obstetrics & Gynecology|2
88230003|A00590|Anesthesiologist|Anesthesiology|
88230003|N01040|Circulating Nurse|Nursing|
88244251|S02955|Primary Surgeon|General Surgery|1
88244251|A00598|Anesthesiologist|Anesthesiology|
88244251|N01105|Circulating Nurse|Nursing|
88217810|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88217810|S09012|Assistant Surgeon|Obstetrics & Gynecology|2
88217810|A00400|Anesthesiologist|Anesthesiology|
88217810|N01151|Circulating Nurse|Nursing|
88242744|S04188|Primary Surgeon|Orthopaedic Surgery|1
88242744|A00407|Anesthesiologist|Anesthesiology|
88242744|N01124|Circulating Nurse|Nursing|
88236853|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88236853|S09061|Assistant Surgeon|Colon & Rectal Surgery|2
88236853|A00563|Anesthesiologist|Anesthesiology|
88236853|N01014|Circulating Nurse|Nursing|
88208631|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88208631|A00583|Anesthesiologist|Anesthesiology|
88208631|N01022|Circulating Nurse|Nursing|
88214522|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88214522|A00467|Anesthesiologist|Anesthesiology|
88214522|N01044|Circulating Nurse|Nursing|
88227400|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88227400|S09065|Assistant Surgeon|Obstetrics & Gynecology|2
88227400|A00499|Anesthesiologist|Anesthesiology|
88227400|N01185|Circulating Nurse|Nursing|
88200685|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88200685|A00451|Anesthesiologist|Anesthesiology|
88200685|N01161|Circulating Nurse|Nursing|
88241511|S04188|Primary Surgeon|Orthopaedic Surgery|1
88241511|A00530|Anesthesiologist|Anesthesiology|
88241511|N01002|Circulating Nurse|Nursing|
88243429|S02955|Primary Surgeon|General Surgery|1
88243429|A00428|Anesthesiologist|Anesthesiology|
88243429|N01047|Circulating Nurse|Nursing|
88250005|S04120|Primary Surgeon|Orthopaedic Surgery|1
88250005|S09042|Assistant Surgeon|Plastic Surgery|2
88250005|A00592|Anesthesiologist|Anesthesiology|
88250005|N01110|Circulating Nurse|Nursing|
88210960|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88210960|A00492|Anesthesiologist|Anesthesiology|
88210960|N01018|Circulating Nurse|Nursing|
88202192|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88202192|A00500|Anesthesiologist|Anesthesiology|
88202192|N01182|Circulating Nurse|Nursing|
88216166|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88216166|A00449|Anesthesiologist|Anesthesiology|
88216166|N01108|Circulating Nurse|Nursing|
88226030|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88226030|S09075|Assistant Surgeon|Colon & Rectal Surgery|2
88226030|S09112|Assistant Surgeon|Urology|3
88226030|S09149|Assistant Surgeon|Obstetrics & Gynecology|4
88226030|A00432|Anesthesiologist|Anesthesiology|
88226030|N01196|Circulating Nurse|Nursing|
88234387|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88234387|S09069|Assistant Surgeon|Obstetrics & Gynecology|2
88234387|A00469|Anesthesiologist|Anesthesiology|
88234387|N01197|Circulating Nurse|Nursing|
88254252|S03318|Primary Surgeon|Urology|1
88254252|S09014|Assistant Surgeon|General Surgery|2
88254252|S09051|Assistant Surgeon|Urology|3
88254252|A00556|Anesthesiologist|Anesthesiology|
88254252|N01153|Circulating Nurse|Nursing|
88206439|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88206439|A00495|Anesthesiologist|Anesthesiology|
88206439|N01065|Circulating Nurse|Nursing|
88235757|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88235757|S09026|Assistant Surgeon|Obstetrics & Gynecology|2
88235757|A00486|Anesthesiologist|Anesthesiology|
88235757|N01006|Circulating Nurse|Nursing|
88239867|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88239867|A00406|Anesthesiologist|Anesthesiology|
88239867|N01176|Circulating Nurse|Nursing|
88213700|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88213700|A00415|Anesthesiologist|Anesthesiology|
88213700|N01159|Circulating Nurse|Nursing|
88236716|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88236716|S09085|Assistant Surgeon|Obstetrics & Gynecology|2
88236716|A00465|Anesthesiologist|Anesthesiology|
88236716|N01119|Circulating Nurse|Nursing|
88205206|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88205206|A00564|Anesthesiologist|Anesthesiology|
88205206|N01006|Circulating Nurse|Nursing|
88218358|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88218358|S09056|Assistant Surgeon|Obstetrics & Gynecology|2
88218358|A00581|Anesthesiologist|Anesthesiology|
88218358|N01068|Circulating Nurse|Nursing|
88223427|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88223427|A00448|Anesthesiologist|Anesthesiology|
88223427|N01022|Circulating Nurse|Nursing|
88224112|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88224112|A00427|Anesthesiologist|Anesthesiology|
88224112|N01098|Circulating Nurse|Nursing|
88243977|S02955|Primary Surgeon|General Surgery|1
88243977|A00521|Anesthesiologist|Anesthesiology|
88243977|N01070|Circulating Nurse|Nursing|
88248361|S03318|Primary Surgeon|Urology|1
88248361|S09081|Assistant Surgeon|Urology|2
88248361|A00588|Anesthesiologist|Anesthesiology|
88248361|N01036|Circulating Nurse|Nursing|
88228770|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88228770|S09071|Assistant Surgeon|Colon & Rectal Surgery|2
88228770|S09108|Assistant Surgeon|Urology|3
88228770|S09145|Assistant Surgeon|Obstetrics & Gynecology|4
88228770|A00518|Anesthesiologist|Anesthesiology|
88228770|N01093|Circulating Nurse|Nursing|
88229729|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88229729|A00555|Anesthesiologist|Anesthesiology|
88229729|N01167|Circulating Nurse|Nursing|
88243292|S02901|Primary Surgeon|General Surgery|1
88243292|A00597|Anesthesiologist|Anesthesiology|
88243292|N01111|Circulating Nurse|Nursing|
88245758|S02955|Primary Surgeon|General Surgery|1
88245758|A00579|Anesthesiologist|Anesthesiology|
88245758|N01018|Circulating Nurse|Nursing|
88207535|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88207535|A00500|Anesthesiologist|Anesthesiology|
88207535|N01092|Circulating Nurse|Nursing|
